"zip","id","formattedAddress","addressLine1","addressLine2","city","state","zipCode","county","latitude","longitude","propertyType","listingType","bedrooms","bathrooms","squareFootage","lotSize","yearBuilt","status","price","listedDate","removedDate","daysOnMarket"
"1","2804-Vt-Rte,-7,-Dorset,-VT-05253","2804 Vt Rte, 7, Dorset, VT 05253","2804 Vt Rte","7","Dorset","VT","05253","Bennington",43.2505,-73.0073,"Single Family","Standard",2,1,1344,35719,2005,"Inactive",1900,"2024-08-03T00:00:00.000Z","2024-08-12T00:00:00.000Z",9
"1","2804-Us-Rte,-7,-Dorset,-VT-05253","2804 Us Rte, 7, Dorset, VT 05253","2804 Us Rte","7","Dorset","VT","05253","Bennington",43.2505,-73.0073,"Single Family",NA,2,1,1344,35719,2005,"Inactive",8400,"2024-05-02T00:00:00.000Z","2024-08-02T00:00:00.000Z",92
"1","57-Benedict-Rd-S,-Unit-A,-Dorset,-VT-05253","57 Benedict Rd S, Unit A, Dorset, VT 05253","57 Benedict Rd S","Unit A","Dorset","VT","05253","Bennington",43.2223,-73.0121,"Apartment",NA,1,1,765,NA,NA,"Inactive",1000,"2024-06-23T00:00:00.000Z","2024-07-08T00:00:00.000Z",15
"1","2804-Us-7-Rte,-Dorset,-VT-05253","2804 Us 7 Rte, Dorset, VT 05253","2804 Us 7 Rte",NA,"Dorset","VT","05253","Bennington",43.2505,-73.0073,"Single Family",NA,2,1,1344,35719,2005,"Inactive",8400,"2024-05-02T00:00:00.000Z","2024-05-07T00:00:00.000Z",5
"1","331-Benedict-Rd,-Dorset,-VT-05253","331 Benedict Rd, Dorset, VT 05253","331 Benedict Rd",NA,"Dorset","VT","05253","Bennington",43.2262,-73.0136,"Single Family",NA,5,4.5,3826,228690,1999,"Inactive",5500,"2023-09-08T00:00:00.000Z","2024-03-01T00:00:00.000Z",175
"1","154-Rosewood-Ln,-Dorset,-VT-05253","154 Rosewood Ln, Dorset, VT 05253","154 Rosewood Ln",NA,"Dorset","VT","05253","Bennington",43.2229,-73.0226,"Single Family",NA,2,3,1400,NA,NA,"Inactive",12500,"2021-06-18T00:50:42.471Z","2022-08-12T03:55:15.517Z",421
"1","168-Luge-Run,-Dorset,-VT-05253","168 Luge Run, Dorset, VT 05253","168 Luge Run",NA,"Dorset","VT","05253","Bennington",43.247,-72.9923,"Single Family",NA,2,2,1300,NA,NA,"Inactive",1850,"2021-06-25T00:11:40.265Z","2022-08-06T22:51:35.611Z",408
"1","101-Rosewood-Ln,-Dorset,-VT-05253","101 Rosewood Ln, Dorset, VT 05253","101 Rosewood Ln",NA,"Dorset","VT","05253","Bennington",43.2234,-73.0217,"Single Family",NA,3,2,1950,NA,NA,"Inactive",3500,"2020-11-15T00:21:56.836Z","2021-02-11T04:01:50.339Z",89
"1","358-Benedict-Rd,-Dorset,-VT-05253","358 Benedict Rd, Dorset, VT 05253","358 Benedict Rd",NA,"Dorset","VT","05253","Bennington",43.2276,-73.0118,"Single Family",NA,3,2,2600,NA,NA,"Inactive",2000,"2020-02-19T14:04:28.638Z","2020-04-19T21:27:56.363Z",61
"1","294-Green-Peak-Orch-S,-Dorset,-VT-05251","294 Green Peak Orch S, Dorset, VT 05251","294 Green Peak Orch S",NA,"Dorset","VT","05251","Bennington",43.2125,-73.0274,"Single Family","Standard",4,3.5,2340,408157,1966,"Active",6500,"2025-03-13T00:00:00.000Z","list()",294
"1","3093-Route,-30,-Dorset,-VT-05251","3093 Route, 30, Dorset, VT 05251","3093 Route","30","Dorset","VT","05251","Bennington",43.2514,-73.0956,"Single Family","Standard",3,1,1980,42253,1939,"Active",8000,"2024-10-29T00:00:00.000Z","list()",429
"1","937-Route,-30,-Dorset,-VT-05251","937 Route, 30, Dorset, VT 05251","937 Route","30","Dorset","VT","05251","Bennington",43.2247,-73.0753,"Single Family","Standard",4,1.5,1404,74488,1955,"Active",4000,"2025-11-17T00:00:00.000Z","list()",45
"1","3789-Dorset-West-Rd,-Dorset,-VT-05251","3789 Dorset West Rd, Dorset, VT 05251","3789 Dorset West Rd",NA,"Dorset","VT","05251","Bennington",43.2602,-73.1153,"Apartment","Standard",1,1,800,NA,2013,"Active",2300,"2025-10-24T00:00:00.000Z","list()",68
"1","937-Route-30-St,-Dorset,-VT-05251","937 Route 30 St, Dorset, VT 05251","937 Route 30 St",NA,"Dorset","VT","05251","Bennington",43.2247,-73.0753,"Single Family","Standard",4,1.5,1404,74488,1955,"Inactive",4000,"2025-11-17T00:00:00.000Z","2025-11-25T00:00:00.000Z",8
"1","932-Route-30-St,-Dorset,-VT-05251","932 Route 30 St, Dorset, VT 05251","932 Route 30 St",NA,"Dorset","VT","05251","Bennington",43.225,-73.0746,"Single Family","Standard",4,1.5,1404,74488,1955,"Inactive",4000,"2025-11-17T00:00:00.000Z","2025-11-24T00:00:00.000Z",7
"1","1728-Route,-30,-Dorset,-VT-05251","1728 Route, 30, Dorset, VT 05251","1728 Route","30","Dorset","VT","05251","Bennington",43.2346,-73.0817,"Single Family","Standard",3,3,2308,NA,2020,"Inactive",3750,"2025-03-14T00:00:00.000Z","2025-08-24T00:00:00.000Z",163
"1","365-Dogpatch-Ln,-Dorset,-VT-05251","365 Dogpatch Ln, Dorset, VT 05251","365 Dogpatch Ln",NA,"Dorset","VT","05251","Bennington",43.2716,-73.1177,"Single Family","Standard",3,1.5,1700,157252,1978,"Inactive",3000,"2024-09-19T00:00:00.000Z","2025-07-08T00:00:00.000Z",292
"1","983-Vt-Rte,-30,-Dorset,-VT-05251","983 Vt Rte, 30, Dorset, VT 05251","983 Vt Rte","30","Dorset","VT","05251","Bennington",43.2255,-73.0753,"Single Family","Standard",3,2,3622,45302,1988,"Inactive",3250,"2024-11-12T00:00:00.000Z","2025-03-05T00:00:00.000Z",113
"1","195-Mystic-Ln,-Dorset,-VT-05251","195 Mystic Ln, Dorset, VT 05251","195 Mystic Ln",NA,"Dorset","VT","05251","Bennington",43.266,-73.1037,"Single Family","Standard",4,2.5,3512,152460,1990,"Inactive",5000,"2024-10-15T00:00:00.000Z","2025-01-08T00:00:00.000Z",85
"1","983-Route,-30,-Dorset,-VT-05251","983 Route, 30, Dorset, VT 05251","983 Route","30","Dorset","VT","05251","Bennington",43.2255,-73.0754,"Single Family","Standard",3,2,3622,45302,1988,"Inactive",3250,"2024-11-12T00:00:00.000Z","2024-11-21T00:00:00.000Z",9
"1","212-Eagle-Ridge-Rd,-Unit-A,-Dorset,-VT-05251","212 Eagle Ridge Rd, Unit A, Dorset, VT 05251","212 Eagle Ridge Rd","Unit A","Dorset","VT","05251","Bennington",43.215,-73.0489,"Single Family",NA,4,NA,4264,NA,NA,"Inactive",3650,"2020-05-26T15:26:39.199Z","2020-06-11T09:30:38.536Z",16
"1","212-Eagle-Ridge-Rd,-Dorset,-VT-05251","212 Eagle Ridge Rd, Dorset, VT 05251","212 Eagle Ridge Rd",NA,"Dorset","VT","05251","Bennington",43.215,-73.0489,"Single Family",NA,5,5.5,4264,NA,NA,"Inactive",3500,"2020-02-18T01:39:34.553Z","2020-05-24T09:29:33.483Z",97
"1","140-Dorset-Hollow-Rd,-Dorset,-VT-05251","140 Dorset Hollow Rd, Dorset, VT 05251","140 Dorset Hollow Rd",NA,"Dorset","VT","05251","Bennington",43.2545,-73.0946,"Single Family",NA,3,2,1143,NA,NA,"Inactive",2000,"2020-04-01T00:17:46.663Z","2020-04-24T09:27:07.277Z",24
