geoid,cntdenied,sumdenied,denial_rt_20,year
"17197881009",1270.00,94.00,0.07,"2019"
"17197880118",614.00,41.00,0.07,"2019"
"17197881113",930.00,59.00,0.06,"2019"
"17197880416",290.00,23.00,0.08,"2019"
"17197884003",358.00,41.00,0.11,"2019"
"17197880120",887.00,100.00,0.11,"2019"
"17197880502",452.00,44.00,0.10,"2019"
"17197883522",365.00,27.00,0.07,"2019"
"17197880304",616.00,26.00,0.04,"2019"
"17197883215",1474.00,121.00,0.08,"2019"
"17197880313",1399.00,119.00,0.09,"2019"
"17197880314",1108.00,94.00,0.08,"2019"
"17197883303",443.00,23.00,0.05,"2019"
"17197880119",588.00,47.00,0.08,"2019"
"17197880308",1412.00,137.00,0.10,"2019"
"17197883212",787.00,52.00,0.07,"2019"
"17197880901",523.00,55.00,0.11,"2019"
"17197880415",691.00,76.00,0.11,"2019"
"17197883505",1121.00,115.00,0.10,"2019"
"17197880421",871.00,87.00,0.10,"2019"
"17197880309",777.00,47.00,0.06,"2019"
"17197880204",484.00,48.00,0.10,"2019"
"17197881002",535.00,53.00,0.10,"2019"
"17197883304",148.00,9.00,0.06,"2019"
"17197880414",390.00,48.00,0.12,"2019"
"17197883514",783.00,65.00,0.08,"2019"
"17197880420",1003.00,92.00,0.09,"2019"
"17197880419",836.00,77.00,0.09,"2019"
"17197880109",491.00,58.00,0.12,"2019"
"17197880111",253.00,25.00,0.10,"2019"
"17197880905",209.00,23.00,0.11,"2019"
"17197880305",764.00,36.00,0.05,"2019"
"17197883603",205.00,28.00,0.14,"2019"
"17197883510",1330.00,84.00,0.06,"2019"
"17197880418",542.00,45.00,0.08,"2019"
"17197880312",2368.00,198.00,0.08,"2019"
"17197881007",658.00,57.00,0.09,"2019"
"17197880121",902.00,102.00,0.11,"2019"
"17197880310",1731.00,138.00,0.08,"2019"
"17197883902",590.00,72.00,0.12,"2019"
"17197881700",328.00,32.00,0.10,"2019"
"17197880112",182.00,24.00,0.13,"2019"
"17197882601",230.00,27.00,0.12,"2019"
"17197883402",167.00,19.00,0.11,"2019"
"17197883214",253.00,19.00,0.08,"2019"
"17197883206",333.00,40.00,0.12,"2019"
"17197880106",299.00,42.00,0.14,"2019"
"17197883517",321.00,31.00,0.10,"2019"
"17197881200",140.00,30.00,0.21,"2019"
"17197880505",586.00,77.00,0.13,"2019"
"17197880702",113.00,25.00,0.22,"2019"
"17197883306",326.00,24.00,0.07,"2019"
"17197882701",179.00,20.00,0.11,"2019"
"17197883211",685.00,80.00,0.12,"2019"
"17197883516",1103.00,73.00,0.07,"2019"
"17197880404",1429.00,91.00,0.06,"2019"
"17197883511",463.00,43.00,0.09,"2019"
"17197884006",163.00,11.00,0.07,"2019"
"17197882602",76.00,14.00,0.18,"2019"
"17197882000",25.00,12.00,0.48,"2019"
"17197880203",276.00,39.00,0.14,"2019"
"17197881603",163.00,13.00,0.08,"2019"
"17197883216",364.00,33.00,0.09,"2019"
"17197880701",431.00,31.00,0.07,"2019"
"17197880412",443.00,50.00,0.11,"2019"
"17197882100",39.00,9.00,0.23,"2019"
"17197883208",235.00,25.00,0.11,"2019"
"17197883804",150.00,19.00,0.13,"2019"
"17197883904",426.00,40.00,0.09,"2019"
"17197881108",838.00,55.00,0.07,"2019"
"17197882200",116.00,28.00,0.24,"2019"
"17197880507",537.00,73.00,0.14,"2019"
"17197883509",510.00,32.00,0.06,"2019"
"17197883519",555.00,54.00,0.10,"2019"
"17197881500",276.00,35.00,0.13,"2019"
"17197880503",409.00,39.00,0.10,"2019"
"17197880408",429.00,43.00,0.10,"2019"
"17197883606",272.00,47.00,0.17,"2019"
"17197881402",198.00,22.00,0.11,"2019"
"17197880113",186.00,22.00,0.12,"2019"
"17197884101",271.00,30.00,0.11,"2019"
"17197883700",173.00,36.00,0.21,"2019"
"17197880410",962.00,104.00,0.11,"2019"
"17197884004",230.00,26.00,0.11,"2019"
"17197881001",575.00,50.00,0.09,"2019"
"17197883213",548.00,40.00,0.07,"2019"
"17197883602",639.00,135.00,0.21,"2019"
"17197884103",275.00,36.00,0.13,"2019"
"17197880303",475.00,31.00,0.07,"2019"
"17197883401",280.00,33.00,0.12,"2019"
"17197880115",197.00,25.00,0.13,"2019"
"17197880117",164.00,14.00,0.09,"2019"
"17197883209",224.00,20.00,0.09,"2019"
"17197882801",162.00,14.00,0.09,"2019"
"17197883811",236.00,30.00,0.13,"2019"
"17197881401",201.00,23.00,0.11,"2019"
"17197881111",373.00,28.00,0.08,"2019"
"17197881800",193.00,24.00,0.12,"2019"
"17197880306",973.00,74.00,0.08,"2019"
"17197881012",270.00,24.00,0.09,"2019"
"17197880411",336.00,40.00,0.12,"2019"
"17197883000",135.00,19.00,0.14,"2019"
"17197881105",919.00,63.00,0.07,"2019"
"17197882400",68.00,15.00,0.22,"2019"
"17197881112",682.00,42.00,0.06,"2019"
"17197883210",234.00,26.00,0.11,"2019"
"17197880105",625.00,77.00,0.12,"2019"
"17197883504",618.00,56.00,0.09,"2019"
"17197881116",459.00,26.00,0.06,"2019"
"17197881010",555.00,37.00,0.07,"2019"
"17197883513",688.00,56.00,0.08,"2019"
"17197883307",395.00,37.00,0.09,"2019"
"17197882900",114.00,23.00,0.20,"2019"
"17197881604",135.00,18.00,0.13,"2019"
"17197883809",195.00,47.00,0.24,"2019"
"17197880116",253.00,23.00,0.09,"2019"
"17197880202",458.00,55.00,0.12,"2019"
"17197882802",116.00,13.00,0.11,"2019"
"17197883605",71.00,20.00,0.28,"2019"
"17197883806",317.00,56.00,0.18,"2019"
"17197881011",315.00,31.00,0.10,"2019"
"17197882702",169.00,18.00,0.11,"2019"
"17197880107",382.00,44.00,0.12,"2019"
"17197881006",262.00,24.00,0.09,"2019"
"17197880903",90.00,12.00,0.13,"2019"
"17197882300",183.00,23.00,0.13,"2019"
"17197881107",331.00,19.00,0.06,"2019"
"17197881115",539.00,41.00,0.08,"2019"
"17197881601",149.00,13.00,0.09,"2019"
"17197881109",528.00,28.00,0.05,"2019"
"17197880601",293.00,21.00,0.07,"2019"
"17197880602",256.00,26.00,0.10,"2019"
"17197883100",182.00,38.00,0.21,"2019"
"17197880114",102.00,17.00,0.17,"2019"
"17197880417",268.00,23.00,0.09,"2019"
"17197883810",316.00,48.00,0.15,"2019"
"17197881005",372.00,41.00,0.11,"2019"
"17197881900",53.00,12.00,0.23,"2019"
"17197883521",349.00,17.00,0.05,"2019"
"17197880307",693.00,69.00,0.10,"2019"
"17197883903",121.00,11.00,0.09,"2019"
"17197883515",492.00,41.00,0.08,"2019"
"17197883507",441.00,39.00,0.09,"2019"
"17197883305",272.00,18.00,0.07,"2019"
"17197883808",143.00,20.00,0.14,"2019"
"17197883803",45.00,7.00,0.16,"2019"
"17197884005",100.00,12.00,0.12,"2019"
NA,6.00,6.00,1.00,"2019"
"17197881302",21.00,5.00,0.24,"2019"
"17197881301",33.00,4.00,0.12,"2019"
"17197882500",25.00,10.00,0.40,"2019"
